,Time,Lagoon,Precipitation,Discharge,NDVI,Temperature,PixelPercentage,SOI,ENSO
386,2012-03-31,totumo,-127.67708333333331,,-0.098285208814303,4.470829574339884,72.03667321545514,0.7,Nina
387,2012-04-30,totumo,-126.65,,-0.0559539283295644,-0.9271460225690972,72.4950884086444,0.2,Nina
388,2012-05-31,totumo,-131.27291666666665,,-0.0835778652768378,3.128931547544098,80.55009823182712,0.01999999999999999,Nina
389,2012-06-30,totumo,-37.41874999999999,,0.0346426095249643,6.370708818756746,80.74656188605108,-0.28,Neutral
390,2012-07-31,totumo,9.46041666666666,,-0.0424060158759062,-9.144316491443778,72.82252783235101,-0.11999999999999997,Neutral
391,2012-08-31,totumo,53.70208333333332,,0.016632910798436,2.9303544106370687,53.307138179436805,-0.04,Neutral
392,2012-09-30,totumo,-35.64999999999999,,0.0202725689450425,-3.8142816382774782,65.88081204977078,0.18,Neutral
393,2012-10-31,totumo,83.32500000000002,,0.0888307688533035,-10.31060013863485,39.554682383759,-2.2204460492503132e-17,Neutral
394,2012-11-30,totumo,144.3,,0.1390038467377191,3.534015543372768,77.47216764898494,0.03999999999999999,Neutral
395,2012-12-31,totumo,22.020833333333343,,0.0812971957675812,1.2720595897337574,72.82252783235101,-0.12000000000000002,Neutral
396,2013-01-31,totumo,52.74791666666668,,0.0143196175349684,0.4398655984405408,98.36280288146692,0.27999999999999997,Neutral
397,2013-02-28,totumo,-70.10416666666666,,-0.0423213889573677,2.9824103792863568,71.18533071381793,0.27999999999999997,Neutral
402,2013-07-31,totumo,43.71875,,-0.0240033170574412,-0.2377096182204994,73.80484610347085,1.08,Neutral
405,2013-10-31,totumo,133.88333333333333,,0.1054636625842636,-1.6301100779127855,83.69351669941061,0.39999999999999997,Neutral
406,2013-11-30,totumo,79.80833333333334,,0.0625575167814888,-5.2826837827662025,97.31499672560577,0.82,Neutral
407,2013-12-31,totumo,169.13333333333335,,0.0604530433035427,-1.1235924927443222,100.0,0.74,Neutral
408,2014-01-31,totumo,-39.43541666666667,,0.0478794331182579,-0.7260584960206842,100.0,0.45999999999999996,Neutral
409,2014-02-28,totumo,-58.150000000000006,,0.0072114008545265,-0.1247888123762663,99.86902423051735,0.48,Neutral
410,2014-03-31,totumo,-68.68749999999999,,-0.0306159179992362,0.4006682971483997,99.80353634577604,0.6399999999999999,Neutral
414,2014-07-31,totumo,1.2208333333333383,,-0.0419357337885506,1.7344639458300437,100.0,-0.3,Neutral
415,2014-08-31,totumo,-60.570833333333326,,-0.0591986310935848,4.4750208016530095,100.0,-0.6799999999999999,Neutral
416,2014-09-30,totumo,-43.62916666666666,,-0.0741409887586772,4.927116833444366,44.07334643091029,-1.04,Nino
417,2014-10-31,totumo,132.37083333333334,,-0.0020674722213434,-6.815707826740304,88.99803536345776,-1.1600000000000001,Nino
418,2014-11-30,totumo,51.37083333333334,,0.1102995223801621,0.4493515672468788,99.93451211525868,-1.2,Nino
419,2014-12-31,totumo,119.74583333333334,,0.1117535547754188,-2.037141442516699,99.93451211525868,-0.8799999999999999,Nino
420,2015-01-31,totumo,84.36666666666667,,0.0866814377578791,-2.7711412415153878,100.0,-0.9199999999999999,Nino
421,2015-02-28,totumo,-33.69375,,0.0293052002035132,-1.154510507221552,100.0,-0.6399999999999999,Nino
422,2015-03-31,totumo,-66.54166666666666,,-0.035381221622649,0.7556472323775552,92.92730844793712,-0.7,Nino
423,2015-04-30,totumo,-66.45833333333333,,-0.0236828863548422,-1.1434823746125105,98.10085134250164,-0.6,Nino
424,2015-05-31,totumo,-60.37499999999999,,-0.0822148096601769,-7.378959673204704,100.0,-1.06,Nino
425,2015-06-30,totumo,-38.16666666666666,,0.0409909713964412,-0.1074793810055183,100.0,-1.3,Nino
426,2015-07-31,totumo,-20.499999999999996,,0.0418808888999395,0.5520972925280816,100.0,-1.8199999999999998,Nino
427,2015-08-31,totumo,-17.874999999999993,,0.0246818879758556,3.931758715305371,96.85658153241651,-2.1399999999999997,Nino
428,2015-09-30,totumo,51.833333333333336,,0.0144793612897222,6.620313772086568,92.8618205631958,-2.12,Nino
429,2015-10-31,totumo,55.833333333333336,,-0.0724208619675499,-4.210933510968076,41.32285527177472,-1.92,Nino
430,2015-11-30,totumo,2.833333333333336,,0.1070875943749901,1.2278569409701348,100.0,-2.16,Nino
431,2015-12-31,totumo,11.625,,0.0825356695395848,0.7094457074873546,100.0,-2.2600000000000002,Nino
432,2016-01-31,totumo,77.58333333333334,,-0.0108412086338739,-0.3716436205478928,100.0,-1.7200000000000002,Nino
433,2016-02-29,totumo,-28.874999999999982,,-0.0922232854298406,1.8325189238929056,99.41060903732809,-1.9600000000000002,Nino
434,2016-03-31,totumo,-93.75,,-0.1488897299301805,-0.795091977402187,95.28487229862476,-1.64,Nino
435,2016-04-30,totumo,-92.58333333333331,,-0.2067724230227765,0.97303071364815,100.0,-0.7,Nino
436,2016-05-31,totumo,-94.08333333333331,,-0.0381375981623229,5.782755649905042,100.0,0.07999999999999999,Nino
437,2016-06-30,totumo,39.4567541399573,,0.045035913014233,2.3533490725367017,100.0,0.33999999999999997,Neutral
438,2016-07-31,totumo,127.62184161324788,,0.0433567669544213,5.690524214403915,100.0,1.14,Nina
439,2016-08-31,totumo,123.78850827991454,,-0.0865630610099095,-5.653465680834646,11.722331368696793,0.9199999999999999,Nina
440,2016-09-30,totumo,-75.75315838675212,,0.0664245710867892,0.1459049864211081,78.5199738048461,0.6599999999999999,Nina
441,2016-10-31,totumo,32.24684161324788,,0.1158176348334458,-4.577821490873909,28.945645055664706,0.6199999999999999,Nina
442,2016-11-30,totumo,-61.79482505341879,,0.0586612453805464,-4.984429657060701,96.46365422396856,0.43999999999999995,Nina
443,2016-12-31,totumo,116.0347422542735,,0.0358961827991242,-1.490206844216594,100.0,0.019999999999999934,Nina
444,2017-01-31,totumo,176.12184161324788,,0.0142461665179296,-2.9292034472722754,100.0,0.3999999999999999,Nina
445,2017-02-28,totumo,-91.0448250534188,,-0.004337697310783,-1.6761011019694507,100.0,0.37999999999999995,Neutral
446,2017-03-31,totumo,-87.12815838675213,,-0.0455885811783396,1.2250496454481876,99.73804846103472,0.35999999999999993,Neutral
